x y
42.4045 23.4078
41.9962 23.4545

43.1461 23.3421
42.4045 23.4078

43.8876 23.2992
43.1461 23.3421

44.6292 23.2817
43.8876 23.2992

45.3708 23.2904
44.6292 23.2817

46.1124 23.3242
45.3708 23.2904

46.8539 23.3800
46.1124 23.3242

47.5955 23.4532
46.8539 23.3800

47.6077 23.4545
47.5955 23.4532

37.2135 24.1603
37.0276 24.1818

37.9551 24.0616
37.2135 24.1603

38.6966 23.9524
37.9551 24.0616

39.4382 23.8361
38.6966 23.9524

40.1798 23.7176
39.4382 23.8361

40.9213 23.6021
40.1798 23.7176

41.6629 23.4956
40.9213 23.6021

41.9962 23.4545
41.6629 23.4956

47.6077 23.4545
48.3371 23.5438

49.0787 23.6398
48.3371 23.5438

49.8202 23.7346
49.0787 23.6398

50.5618 23.8235
49.8202 23.7346

51.3034 23.9030
50.5618 23.8235

52.0449 23.9718
51.3034 23.9030

52.7865 24.0298
52.0449 23.9718

53.5281 24.0783
52.7865 24.0298

54.2697 24.1190
53.5281 24.0783

55.0112 24.1536
54.2697 24.1190

55.7013 24.1818
55.0112 24.1536

23.8652 24.8197
23.2176 24.9091

24.6067 24.7432
23.8652 24.8197

25.3483 24.6874
24.6067 24.7432

26.0899 24.6473
25.3483 24.6874

26.8315 24.6189
26.0899 24.6473

27.5730 24.5987
26.8315 24.6189

28.3146 24.5841
27.5730 24.5987

29.0562 24.5727
28.3146 24.5841

29.7978 24.5626
29.0562 24.5727

30.5393 24.5523
29.7978 24.5626

31.2809 24.5401
30.5393 24.5523

32.0225 24.5243
31.2809 24.5401

32.7640 24.5033
32.0225 24.5243

33.5056 24.4750
32.7640 24.5033

34.2472 24.4375
33.5056 24.4750

34.9888 24.3888
34.2472 24.4375

35.7303 24.3269
34.9888 24.3888

36.4719 24.2504
35.7303 24.3269

37.0276 24.1818
36.4719 24.2504

55.7013 24.1818
55.7528 24.1840

56.4944 24.2130
55.7528 24.1840

57.2360 24.2403
56.4944 24.2130

57.9775 24.2671
57.2360 24.2403

58.7191 24.2943
57.9775 24.2671

59.4607 24.3224
58.7191 24.2943

60.2022 24.3514
59.4607 24.3224

60.9438 24.3807
60.2022 24.3514

61.6854 24.4092
60.9438 24.3807

62.4270 24.4359
61.6854 24.4092

63.1685 24.4600
62.4270 24.4359

63.9101 24.4821
63.1685 24.4600

64.6517 24.5041
63.9101 24.4821

65.3933 24.5302
64.6517 24.5041

66.1348 24.5661
65.3933 24.5302

66.8764 24.6192
66.1348 24.5661

67.6180 24.6975
66.8764 24.6192

68.3596 24.8097
67.6180 24.6975

68.8364 24.9091
68.3596 24.8097

20.8989 25.4838
20.4962 25.6364

21.6404 25.2530
20.8989 25.4838

22.3820 25.0679
21.6404 25.2530

23.1236 24.9230
22.3820 25.0679

23.2176 24.9091
23.1236 24.9230

68.8364 24.9091
69.1011 24.9690

69.8427 25.1915
69.1011 24.9690

70.5843 25.4754
69.8427 25.1915

70.9237 25.6364
70.5843 25.4754

19.4157 26.1453
19.0380 26.3636

20.1573 25.7776
19.4157 26.1453

20.4962 25.6364
20.1573 25.7776

70.9237 25.6364
71.3258 25.8469

72.0674 26.3146
71.3258 25.8469

72.1334 26.3636
72.0674 26.3146

18.6742 26.5984
18.0076 27.0909

19.0380 26.3636
18.6742 26.5984

72.1334 26.3636
72.8090 26.9271

72.9790 27.0909
72.8090 26.9271

17.9326 27.1535
17.2250 27.8182

18.0076 27.0909
17.9326 27.1535

72.9790 27.0909
73.5506 27.7198

73.6293 27.8182
73.5506 27.7198

17.1910 27.8548
16.6125 28.5455

17.2250 27.8182
17.1910 27.8548

73.6293 27.8182
74.1285 28.5455

16.4494 28.7721
16.1214 29.2727

16.6125 28.5455
16.4494 28.7721

74.1285 28.5455
74.2921 28.8298

74.5201 29.2727
74.2921 28.8298

16.1214 29.2727
15.7209 30.0000

74.5201 29.2727
74.8250 30.0000

15.7079 30.0284
15.4139 30.7273

15.7209 30.0000
15.7079 30.0284

74.8250 30.0000
75.0337 30.6336

75.0618 30.7273
75.0337 30.6336

15.4139 30.7273
15.1692 31.4545

75.0618 30.7273
75.2228 31.4545

15.1692 31.4545
14.9803 32.1818

75.2228 31.4545
75.3321 32.1818

14.9663 32.2552
14.8507 32.9091

14.9803 32.1818
14.9663 32.2552

75.3321 32.1818
75.3933 32.9091

14.8507 32.9091
14.7658 33.6364

75.3933 32.9091
75.4107 33.6364

14.7658 33.6364
14.7209 34.3636

75.4107 33.6364
75.3885 34.3636

14.7209 34.3636
14.7126 35.0909

75.3885 34.3636
75.3316 35.0909

14.7126 35.0909
14.7379 35.8182

75.3316 35.0909
75.2452 35.8182

14.7379 35.8182
14.7943 36.5455

75.2452 35.8182
75.1344 36.5455

14.7943 36.5455
14.8798 37.2727

75.0337 37.1080
75.0016 37.2727

75.1344 36.5455
75.0337 37.1080

14.8798 37.2727
14.9663 37.8298

14.9950 38.0000
14.9663 37.8298

75.0016 37.2727
74.8434 38.0000

14.9950 38.0000
15.1458 38.7273

74.8434 38.0000
74.6717 38.7273

15.1458 38.7273
15.3242 39.4545

74.6717 38.7273
74.4870 39.4545

15.3242 39.4545
15.5298 40.1818

74.2921 40.1654
74.2872 40.1818

74.4870 39.4545
74.2921 40.1654

15.5298 40.1818
15.7079 40.7396

15.7674 40.9091
15.7079 40.7396

74.2872 40.1818
74.0487 40.9091

15.7674 40.9091
16.0507 41.6364

74.0487 40.9091
73.7831 41.6364

16.0507 41.6364
16.3647 42.3636

73.5506 42.2008
73.4756 42.3636

73.7831 41.6364
73.5506 42.2008

16.3647 42.3636
16.4494 42.5426

16.7364 43.0909
16.4494 42.5426

73.4756 42.3636
73.0980 43.0909

16.7364 43.0909
17.1527 43.8182

72.8090 43.5825
72.6529 43.8182

73.0980 43.0909
72.8090 43.5825

17.1527 43.8182
17.1910 43.8800

17.6513 44.5455
17.1910 43.8800

72.6529 43.8182
72.1183 44.5455

17.6513 44.5455
17.9326 44.9245

18.2244 45.2727
17.9326 44.9245

72.0674 44.6095
71.4702 45.2727

72.1183 44.5455
72.0674 44.6095

18.2244 45.2727
18.6742 45.7833

18.8929 46.0000
18.6742 45.7833

71.3258 45.4263
70.7092 46.0000

71.4702 45.2727
71.3258 45.4263

18.8929 46.0000
19.4157 46.5088

19.6771 46.7273
19.4157 46.5088

69.8427 46.7184
69.8297 46.7273

70.5843 46.1174
69.8427 46.7184

70.7092 46.0000
70.5843 46.1174

19.6771 46.7273
20.1573 47.1426

20.5855 47.4545
20.1573 47.1426

69.1011 47.2732
68.8082 47.4545

69.8297 46.7273
69.1011 47.2732

20.5855 47.4545
20.8989 47.7117

21.5936 48.1818
20.8989 47.7117

68.3596 47.7970
67.7316 48.1818

68.8082 47.4545
68.3596 47.7970

21.5936 48.1818
21.6404 48.2231

22.3820 48.7489
21.6404 48.2231

22.6707 48.9091
22.3820 48.7489

66.8764 48.8390
66.7506 48.9091

67.6180 48.2901
66.8764 48.8390

67.7316 48.1818
67.6180 48.2901

22.6707 48.9091
23.1236 49.3550

23.4992 49.6364
23.1236 49.3550

66.7506 48.9091
66.3531 49.6364

23.4992 49.6364
23.5715 50.3636

66.3531 49.6364
66.8764 50.2523

66.9496 50.3636
66.8764 50.2523

23.1236 50.7577
22.8395 51.0909

23.5715 50.3636
23.1236 50.7577

66.9496 50.3636
67.6180 50.7686

68.0366 51.0909
67.6180 50.7686

22.3820 51.3684
21.8085 51.8182

22.8395 51.0909
22.3820 51.3684

68.0366 51.0909
68.3596 51.2619

69.1011 51.7511
68.3596 51.2619

69.1848 51.8182
69.1011 51.7511

20.8989 52.4568
20.7993 52.5455

21.6404 51.9159
20.8989 52.4568

21.8085 51.8182
21.6404 51.9159

69.1848 51.8182
69.8427 52.2632

70.1932 52.5455
69.8427 52.2632

20.1573 53.0434
19.9092 53.2727

20.7993 52.5455
20.1573 53.0434

70.1932 52.5455
70.5843 52.8425

71.0683 53.2727
70.5843 52.8425

19.4157 53.7089
19.1331 54.0000

19.9092 53.2727
19.4157 53.7089

71.0683 53.2727
71.3258 53.5045

71.8031 54.0000
71.3258 53.5045

18.6742 54.4783
18.4651 54.7273

19.1331 54.0000
18.6742 54.4783

71.8031 54.0000
72.0674 54.2916

72.4139 54.7273
72.0674 54.2916

17.9326 55.3914
17.8875 55.4545

18.4651 54.7273
17.9326 55.3914

72.4139 54.7273
72.8090 55.2748

72.9240 55.4545
72.8090 55.2748

17.8875 55.4545
17.4012 56.1818

72.9240 55.4545
73.3368 56.1818

17.1910 56.5214
16.9744 56.9091

17.4012 56.1818
17.1910 56.5214

73.3368 56.1818
73.5506 56.6146

73.6807 56.9091
73.5506 56.6146

16.9744 56.9091
16.6002 57.6364

73.6807 56.9091
73.9587 57.6364

16.4494 57.9557
16.2735 58.3636

16.6002 57.6364
16.4494 57.9557

73.9587 57.6364
74.1962 58.3636

16.2735 58.3636
15.9862 59.0909

74.1962 58.3636
74.2921 58.7035

74.3913 59.0909
74.2921 58.7035

15.9862 59.0909
15.7241 59.8182

74.3913 59.0909
74.5536 59.8182

15.7079 59.8675
15.5028 60.5455

15.7241 59.8182
15.7079 59.8675

74.5536 59.8182
74.6955 60.5455

15.5028 60.5455
15.3043 61.2727

74.6955 60.5455
74.8206 61.2727
