x y e
12.0000 22.0000 0.0000
12.7416 22.0000 0.0000
13.4831 22.0000 0.0000
14.2247 22.0000 0.0000
14.9663 22.0000 0.0000
15.7079 22.0000 0.0000
16.4494 22.0000 0.0000
17.1910 22.0000 0.0000
17.9326 22.0000 0.0000
18.6742 22.0000 0.0000
19.4157 22.0000 0.0000
20.1573 22.0000 0.0000
20.8989 22.0000 0.0000
21.6404 22.0000 0.0000
22.3820 22.0000 0.0000
23.1236 22.0000 0.0000
23.8652 22.0000 0.0000
24.6067 22.0000 0.0000
25.3483 22.0000 0.0000
26.0899 22.0000 0.0000
26.8315 22.0000 0.0000
27.5730 22.0000 0.0000
28.3146 22.0000 0.0045
29.0562 22.0000 0.0077
29.7978 22.0000 0.0098
30.5393 22.0000 0.0111
31.2809 22.0000 0.0120
32.0225 22.0000 0.0129
32.7640 22.0000 0.0142
33.5056 22.0000 0.0164
34.2472 22.0000 0.0198
34.9888 22.0000 0.0248
35.7303 22.0000 0.0315
36.4719 22.0000 0.0402
37.2135 22.0000 0.0506
37.9551 22.0000 0.0628
38.6966 22.0000 0.0764
39.4382 22.0000 0.0909
40.1798 22.0000 0.1059
40.9213 22.0000 0.1205
41.6629 22.0000 0.1343
42.4045 22.0000 0.1462
43.1461 22.0000 0.1558
43.8876 22.0000 0.1624
44.6292 22.0000 0.1657
45.3708 22.0000 0.1657
46.1124 22.0000 0.1624
46.8539 22.0000 0.1564
47.5955 22.0000 0.1485
48.3371 22.0000 0.1393
49.0787 22.0000 0.1298
49.8202 22.0000 0.1206
50.5618 22.0000 0.1123
51.3034 22.0000 0.1052
52.0449 22.0000 0.0992
52.7865 22.0000 0.0943
53.5281 22.0000 0.0902
54.2697 22.0000 0.0868
55.0112 22.0000 0.0836
55.7528 22.0000 0.0806
56.4944 22.0000 0.0775
57.2360 22.0000 0.0742
57.9775 22.0000 0.0705
58.7191 22.0000 0.0663
59.4607 22.0000 0.0615
60.2022 22.0000 0.0561
60.9438 22.0000 0.0502
61.6854 22.0000 0.0439
62.4270 22.0000 0.0374
63.1685 22.0000 0.0307
63.9101 22.0000 0.0239
64.6517 22.0000 0.0169
65.3933 22.0000 0.0095
66.1348 22.0000 0.0010
66.8764 22.0000 0.0000
67.6180 22.0000 0.0000
68.3596 22.0000 0.0000
69.1011 22.0000 0.0000
69.8427 22.0000 0.0000
70.5843 22.0000 0.0000
71.3258 22.0000 0.0000
72.0674 22.0000 0.0000
72.8090 22.0000 0.0000
73.5506 22.0000 0.0000
74.2921 22.0000 0.0000
75.0337 22.0000 0.0000
75.7753 22.0000 0.0000
76.5169 22.0000 0.0000
77.2584 22.0000 0.0000
78.0000 22.0000 0.0000

12.0000 22.7273 0.0000
12.7416 22.7273 0.0000
13.4831 22.7273 0.0000
14.2247 22.7273 0.0000
14.9663 22.7273 0.0000
15.7079 22.7273 0.0000
16.4494 22.7273 0.0000
17.1910 22.7273 0.0000
17.9326 22.7273 0.0000
18.6742 22.7273 0.0000
19.4157 22.7273 0.0000
20.1573 22.7273 0.0000
20.8989 22.7273 0.0000
21.6404 22.7273 0.0043
22.3820 22.7273 0.0268
23.1236 22.7273 0.0456
23.8652 22.7273 0.0611
24.6067 22.7273 0.0737
25.3483 22.7273 0.0838
26.0899 22.7273 0.0919
26.8315 22.7273 0.0982
27.5730 22.7273 0.1030
28.3146 22.7273 0.1065
29.0562 22.7273 0.1090
29.7978 22.7273 0.1106
30.5393 22.7273 0.1117
31.2809 22.7273 0.1126
32.0225 22.7273 0.1137
32.7640 22.7273 0.1153
33.5056 22.7273 0.1178
34.2472 22.7273 0.1217
34.9888 22.7273 0.1271
35.7303 22.7273 0.1344
36.4719 22.7273 0.1437
37.2135 22.7273 0.1548
37.9551 22.7273 0.1677
38.6966 22.7273 0.1821
39.4382 22.7273 0.1973
40.1798 22.7273 0.2129
40.9213 22.7273 0.2281
41.6629 22.7273 0.2422
42.4045 22.7273 0.2543
43.1461 22.7273 0.2638
43.8876 22.7273 0.2701
44.6292 22.7273 0.2729
45.3708 22.7273 0.2722
46.1124 22.7273 0.2681
46.8539 22.7273 0.2611
47.5955 22.7273 0.2520
48.3371 22.7273 0.2416
49.0787 22.7273 0.2308
49.8202 22.7273 0.2203
50.5618 22.7273 0.2107
51.3034 22.7273 0.2024
52.0449 22.7273 0.1953
52.7865 22.7273 0.1894
53.5281 22.7273 0.1845
54.2697 22.7273 0.1804
55.0112 22.7273 0.1767
55.7528 22.7273 0.1733
56.4944 22.7273 0.1701
57.2360 22.7273 0.1667
57.9775 22.7273 0.1632
58.7191 22.7273 0.1593
59.4607 22.7273 0.1551
60.2022 22.7273 0.1504
60.9438 22.7273 0.1454
61.6854 22.7273 0.1401
62.4270 22.7273 0.1348
63.1685 22.7273 0.1294
63.9101 22.7273 0.1240
64.6517 22.7273 0.1185
65.3933 22.7273 0.1125
66.1348 22.7273 0.1053
66.8764 22.7273 0.0962
67.6180 22.7273 0.0843
68.3596 22.7273 0.0684
69.1011 22.7273 0.0476
69.8427 22.7273 0.0211
70.5843 22.7273 0.0000
71.3258 22.7273 0.0000
72.0674 22.7273 0.0000
72.8090 22.7273 0.0000
73.5506 22.7273 0.0000
74.2921 22.7273 0.0000
75.0337 22.7273 0.0000
75.7753 22.7273 0.0000
76.5169 22.7273 0.0000
77.2584 22.7273 0.0000
78.0000 22.7273 0.0000

12.0000 23.4545 0.0000
12.7416 23.4545 0.0000
13.4831 23.4545 0.0000
14.2247 23.4545 0.0000
14.9663 23.4545 0.0000
15.7079 23.4545 0.0000
16.4494 23.4545 0.0000
17.1910 23.4545 0.0000
17.9326 23.4545 0.0000
18.6742 23.4545 0.0000
19.4157 23.4545 0.0146
20.1573 23.4545 0.0518
20.8989 23.4545 0.0840
21.6404 23.4545 0.1112
22.3820 23.4545 0.1338
23.1236 23.4545 0.1521
23.8652 23.4545 0.1668
24.6067 23.4545 0.1783
25.3483 23.4545 0.1872
26.0899 23.4545 0.1941
26.8315 23.4545 0.1992
27.5730 23.4545 0.2030
28.3146 23.4545 0.2057
29.0562 23.4545 0.2076
29.7978 23.4545 0.2090
30.5393 23.4545 0.2101
31.2809 23.4545 0.2111
32.0225 23.4545 0.2125
32.7640 23.4545 0.2145
33.5056 23.4545 0.2175
34.2472 23.4545 0.2217
34.9888 23.4545 0.2276
35.7303 23.4545 0.2352
36.4719 23.4545 0.2448
37.2135 23.4545 0.2563
37.9551 23.4545 0.2695
38.6966 23.4545 0.2841
39.4382 23.4545 0.2996
40.1798 23.4545 0.3154
40.9213 23.4545 0.3306
41.6629 23.4545 0.3446
42.4045 23.4545 0.3566
43.1461 23.4545 0.3658
43.8876 23.4545 0.3717
44.6292 23.4545 0.3740
45.3708 23.4545 0.3727
46.1124 23.4545 0.3679
46.8539 23.4545 0.3602
47.5955 23.4545 0.3502
48.3371 23.4545 0.3389
49.0787 23.4545 0.3270
49.8202 23.4545 0.3155
50.5618 23.4545 0.3049
51.3034 23.4545 0.2956
52.0449 23.4545 0.2877
52.7865 23.4545 0.2811
53.5281 23.4545 0.2756
54.2697 23.4545 0.2710
55.0112 23.4545 0.2670
55.7528 23.4545 0.2635
56.4944 23.4545 0.2602
57.2360 23.4545 0.2569
57.9775 23.4545 0.2536
58.7191 23.4545 0.2501
59.4607 23.4545 0.2464
60.2022 23.4545 0.2424
60.9438 23.4545 0.2382
61.6854 23.4545 0.2338
62.4270 23.4545 0.2295
63.1685 23.4545 0.2254
63.9101 23.4545 0.2213
64.6517 23.4545 0.2171
65.3933 23.4545 0.2124
66.1348 23.4545 0.2064
66.8764 23.4545 0.1984
67.6180 23.4545 0.1873
68.3596 23.4545 0.1721
69.1011 23.4545 0.1516
69.8427 23.4545 0.1250
70.5843 23.4545 0.0915
71.3258 23.4545 0.0507
72.0674 23.4545 0.0023
72.8090 23.4545 0.0000
73.5506 23.4545 0.0000
74.2921 23.4545 0.0000
75.0337 23.4545 0.0000
75.7753 23.4545 0.0000
76.5169 23.4545 0.0000
77.2584 23.4545 0.0000
78.0000 23.4545 0.0000

12.0000 24.1818 0.0000
12.7416 24.1818 0.0000
13.4831 24.1818 0.0000
14.2247 24.1818 0.0000
14.9663 24.1818 0.0000
15.7079 24.1818 0.0000
16.4494 24.1818 0.0000
17.1910 24.1818 0.0000
17.9326 24.1818 0.0217
18.6742 24.1818 0.0705
19.4157 24.1818 0.1142
20.1573 24.1818 0.1525
20.8989 24.1818 0.1854
21.6404 24.1818 0.2130
22.3820 24.1818 0.2355
23.1236 24.1818 0.2535
23.8652 24.1818 0.2674
24.6067 24.1818 0.2779
25.3483 24.1818 0.2857
26.0899 24.1818 0.2914
26.8315 24.1818 0.2955
27.5730 24.1818 0.2984
28.3146 24.1818 0.3005
29.0562 24.1818 0.3021
29.7978 24.1818 0.3033
30.5393 24.1818 0.3045
31.2809 24.1818 0.3058
32.0225 24.1818 0.3076
32.7640 24.1818 0.3100
33.5056 24.1818 0.3134
34.2472 24.1818 0.3180
34.9888 24.1818 0.3241
35.7303 24.1818 0.3319
36.4719 24.1818 0.3414
37.2135 24.1818 0.3529
37.9551 24.1818 0.3659
38.6966 24.1818 0.3804
39.4382 24.1818 0.3957
40.1798 24.1818 0.4111
40.9213 24.1818 0.4261
