x y e
22.0000 0.0000 0.1220
22.6292 0.0000 0.1834
23.2584 0.0000 0.2505
23.8876 0.0000 0.3225
24.5169 0.0000 0.3978
25.1461 0.0000 0.4746
25.7753 0.0000 0.5509
26.4045 0.0000 0.6245
27.0337 0.0000 0.6937
27.6629 0.0000 0.7566
28.2921 0.0000 0.8123
28.9213 0.0000 0.8601
29.5506 0.0000 0.8999
30.1798 0.0000 0.9321
30.8090 0.0000 0.9573
31.4382 0.0000 0.9760
32.0674 0.0000 0.9890
32.6966 0.0000 0.9968
33.3258 0.0000 1.0000
33.9551 0.0000 0.9989
34.5843 0.0000 0.9940
35.2135 0.0000 0.9856
35.8427 0.0000 0.9743
36.4719 0.0000 0.9606
37.1011 0.0000 0.9450
37.7303 0.0000 0.9282
38.3596 0.0000 0.9106
38.9888 0.0000 0.8923
39.6180 0.0000 0.8735
40.2472 0.0000 0.8539
40.8764 0.0000 0.8335
41.5056 0.0000 0.8117
42.1348 0.0000 0.7881
42.7640 0.0000 0.7621
43.3933 0.0000 0.7333
44.0225 0.0000 0.7010
44.6517 0.0000 0.6650
45.2809 0.0000 0.6250
45.9101 0.0000 0.5811
46.5393 0.0000 0.5339
47.1685 0.0000 0.4847
47.7978 0.0000 0.4362
48.4270 0.0000 0.3924
49.0562 0.0000 0.3589
49.6854 0.0000 0.3415
50.3146 0.0000 0.3436
50.9438 0.0000 0.3648
51.5730 0.0000 0.4008
52.2022 0.0000 0.4457
52.8315 0.0000 0.4943
53.4607 0.0000 0.5429
54.0899 0.0000 0.5893
54.7191 0.0000 0.6325
55.3483 0.0000 0.6720
55.9775 0.0000 0.7077
56.6067 0.0000 0.7398
57.2360 0.0000 0.7683
57.8652 0.0000 0.7938
58.4944 0.0000 0.8165
59.1236 0.0000 0.8368
59.7528 0.0000 0.8552
60.3820 0.0000 0.8720
61.0112 0.0000 0.8874
61.6404 0.0000 0.9017
62.2697 0.0000 0.9148
62.8989 0.0000 0.9269
63.5281 0.0000 0.9377
64.1573 0.0000 0.9470
64.7865 0.0000 0.9548
65.4157 0.0000 0.9604
66.0449 0.0000 0.9636
66.6742 0.0000 0.9638
67.3034 0.0000 0.9601
67.9326 0.0000 0.9518
68.5618 0.0000 0.9381
69.1910 0.0000 0.9180
69.8202 0.0000 0.8909
70.4494 0.0000 0.8562
71.0787 0.0000 0.8140
71.7079 0.0000 0.7643
72.3371 0.0000 0.7081
72.9663 0.0000 0.6464
73.5955 0.0000 0.5808
74.2247 0.0000 0.5128
74.8539 0.0000 0.4441
75.4831 0.0000 0.3762
76.1124 0.0000 0.3100
76.7416 0.0000 0.2465
77.3708 0.0000 0.1861
78.0000 0.0000 0.1292

22.0000 0.2051 0.1236
22.6292 0.2051 0.1842
23.2584 0.2051 0.2507
23.8876 0.2051 0.3219
24.5169 0.2051 0.3967
25.1461 0.2051 0.4730
25.7753 0.2051 0.5489
26.4045 0.2051 0.6222
27.0337 0.2051 0.6911
27.6629 0.2051 0.7539
28.2921 0.2051 0.8094
28.9213 0.2051 0.8570
29.5506 0.2051 0.8968
30.1798 0.2051 0.9288
30.8090 0.2051 0.9538
31.4382 0.2051 0.9724
32.0674 0.2051 0.9851
32.6966 0.2051 0.9927
33.3258 0.2051 0.9956
33.9551 0.2051 0.9942
34.5843 0.2051 0.9889
35.2135 0.2051 0.9802
35.8427 0.2051 0.9685
36.4719 0.2051 0.9545
37.1011 0.2051 0.9387
37.7303 0.2051 0.9216
38.3596 0.2051 0.9038
38.9888 0.2051 0.8853
39.6180 0.2051 0.8663
40.2472 0.2051 0.8467
40.8764 0.2051 0.8262
41.5056 0.2051 0.8043
42.1348 0.2051 0.7807
42.7640 0.2051 0.7547
43.3933 0.2051 0.7258
44.0225 0.2051 0.6935
44.6517 0.2051 0.6575
45.2809 0.2051 0.6175
45.9101 0.2051 0.5736
46.5393 0.2051 0.5264
47.1685 0.2051 0.4774
47.7978 0.2051 0.4289
48.4270 0.2051 0.3852
49.0562 0.2051 0.3519
49.6854 0.2051 0.3345
50.3146 0.2051 0.3366
50.9438 0.2051 0.3578
51.5730 0.2051 0.3937
52.2022 0.2051 0.4385
52.8315 0.2051 0.4871
53.4607 0.2051 0.5356
54.0899 0.2051 0.5821
54.7191 0.2051 0.6253
55.3483 0.2051 0.6649
55.9775 0.2051 0.7007
56.6067 0.2051 0.7328
57.2360 0.2051 0.7615
57.8652 0.2051 0.7870
58.4944 0.2051 0.8098
59.1236 0.2051 0.8302
59.7528 0.2051 0.8485
60.3820 0.2051 0.8653
61.0112 0.2051 0.8807
61.6404 0.2051 0.8950
62.2697 0.2051 0.9081
62.8989 0.2051 0.9202
63.5281 0.2051 0.9311
64.1573 0.2051 0.9405
64.7865 0.2051 0.9484
65.4157 0.2051 0.9542
66.0449 0.2051 0.9576
66.6742 0.2051 0.9580
