f s11 s21
1.000000e+09 -21.4890 -0.0323
1.250000e+09 -19.7295 -0.0486
1.500000e+09 -18.4853 -0.0651
1.750000e+09 -17.7088 -0.0785
2.000000e+09 -17.4119 -0.0849
2.250000e+09 -17.6627 -0.0816
2.500000e+09 -18.6156 -0.0679
2.750000e+09 -20.6168 -0.0470
3.000000e+09 -24.6325 -0.0258
3.250000e+09 -36.2824 -0.0140
3.500000e+09 -29.3188 -0.0208
3.750000e+09 -21.3700 -0.0508
4.000000e+09 -17.4907 -0.1005
4.250000e+09 -15.2159 -0.1581
4.500000e+09 -13.9386 -0.2069
4.750000e+09 -13.4535 -0.2302
5.000000e+09 -13.7420 -0.2182
5.250000e+09 -14.9698 -0.1727
5.500000e+09 -17.6779 -0.1097
5.750000e+09 -23.9673 -0.0572
6.000000e+09 -33.9215 -0.0486
6.250000e+09 -18.8395 -0.1132
6.500000e+09 -13.3048 -0.2744
6.750000e+09 -9.3881 -0.6107
7.000000e+09 -3.4969 -2.7063
7.250000e+09 -23.0893 -0.0681
7.500000e+09 -18.1623 -0.1279
7.750000e+09 -24.7283 -0.1199
8.000000e+09 -13.2244 -0.2723
8.250000e+09 -17.2212 -0.1512
8.500000e+09 -25.0057 -0.0922
8.750000e+09 -30.3088 -0.0947
9.000000e+09 -18.9468 -0.1578
9.250000e+09 -14.8481 -0.2546
9.500000e+09 -12.8690 -0.3433
9.750000e+09 -12.0626 -0.3904
1.000000e+10 -12.3504 -0.3700
