x y
47.5780 0.4808
48.9485 0.9507
48.7389 1.5700
47.1069 1.5700
47.5780 0.4808

49.6059 0.0000
50.4670 0.0000
50.3822 0.2420
49.6059 0.0000

49.6059 0.0000
50.3822 0.2420
49.7058 1.5700
48.9485 0.9507
49.6059 0.0000

47.8638 0.0000
48.9485 0.9507
47.5780 0.4808
47.8638 0.0000

46.4675 0.0000
47.8638 0.0000
47.5780 0.4808
46.4675 0.0000

50.3822 0.2420
51.1161 0.5329
50.7550 1.5700
49.7058 1.5700
50.3822 0.2420

50.3822 0.2420
50.4670 0.0000
51.1161 0.5329
50.3822 0.2420

46.4675 0.0000
47.5780 0.4808
47.1069 1.5700
46.1107 0.6910
46.4675 0.0000

55.6735 0.0000
55.8472 0.0000
55.9216 0.2058
55.6735 0.0000

51.1573 0.0000
53.0703 0.0000
52.6047 1.0581
51.1161 0.5329
51.1573 0.0000

68.6292 0.5681
68.6622 0.0000
70.8262 1.5700
68.6292 0.5681

44.6036 1.3018
45.3359 1.5700
44.5082 1.5700
44.6036 1.3018

8.0000 0.0000
14.5751 0.0000
13.5828 1.5688
8.0000 0.0000

45.2605 0.0000
46.1107 0.6910
45.3359 1.5700
44.6036 1.3018
45.2605 0.0000

58.2763 0.0000
60.5386 0.0000
60.7013 0.3254
59.4200 1.0244
58.2763 0.0000

55.6472 0.0723
55.6735 0.0000
55.9216 0.2058
55.6472 0.0723

37.3368 0.1671
38.1825 0.6409
38.5377 1.5700
36.2035 1.5700
37.3368 0.1671

54.1946 0.9963
54.9034 1.5700
53.7325 1.5700
54.1946 0.9963

52.6047 1.0581
53.7325 1.5700
52.3046 1.5700
52.6047 1.0581

43.7546 0.0000
45.2605 0.0000
44.6036 1.3018
43.6546 0.8646
43.7546 0.0000

50.4670 0.0000
51.1573 0.0000
51.1161 0.5329
50.4670 0.0000

40.0538 0.0000
41.7775 0.0000
41.0139 0.7844
40.0538 0.0000

55.9216 0.2058
57.5022 1.5700
56.1741 1.5700
55.9216 0.2058

45.2605 0.0000
46.4675 0.0000
46.1107 0.6910
45.2605 0.0000

48.9485 0.9507
49.7058 1.5700
48.7389 1.5700
48.9485 0.9507

53.0703 0.0000
55.4568 0.0000
54.1946 0.9963
53.0703 0.0000

51.1161 0.5329
52.6047 1.0581
52.3046 1.5700
51.1161 0.5329

55.4568 0.0000
55.6735 0.0000
55.6472 0.0723
55.4568 0.0000

43.6546 0.8646
44.5082 1.5700
43.7364 1.5700
43.6546 0.8646

43.6546 0.8646
44.6036 1.3018
44.5082 1.5700
43.6546 0.8646

55.4568 0.0000
55.6472 0.0723
54.9034 1.5700
54.1946 0.9963
55.4568 0.0000

51.1161 0.5329
52.3046 1.5700
50.7550 1.5700
51.1161 0.5329

42.6571 0.0000
43.7546 0.0000
43.6546 0.8646
42.6571 0.0000

47.8638 0.0000
49.6059 0.0000
48.9485 0.9507
47.8638 0.0000

55.6472 0.0723
55.9216 0.2058
56.1741 1.5700
54.9034 1.5700
55.6472 0.0723

73.1856 0.0000
74.8898 0.0000
74.2336 0.6547
73.1856 0.0000

46.1107 0.6910
47.1069 1.5700
45.3359 1.5700
46.1107 0.6910

55.9216 0.2058
55.8472 0.0000
58.2763 0.0000
57.8058 1.0402
55.9216 0.2058

58.2763 0.0000
59.4200 1.0244
58.7260 1.5700
57.8058 1.0402
58.2763 0.0000

59.4200 1.0244
60.1010 1.5700
58.7260 1.5700
59.4200 1.0244

41.7775 0.0000
42.6571 0.0000
42.4479 0.3585
41.7775 0.0000

53.0703 0.0000
54.1946 0.9963
53.7325 1.5700
52.6047 1.0581
53.0703 0.0000

42.4479 0.3585
43.6546 0.8646
43.7364 1.5700
41.8894 1.5700
42.4479 0.3585

38.1825 0.6409
39.2624 1.5700
38.5377 1.5700
38.1825 0.6409

60.7013 0.3254
60.1010 1.5700
59.4200 1.0244
60.7013 0.3254

55.9216 0.2058
57.8058 1.0402
57.5022 1.5700
55.9216 0.2058

42.4479 0.3585
42.6571 0.0000
43.6546 0.8646
42.4479 0.3585

60.5386 0.0000
60.8770 0.0000
60.7013 0.3254
60.5386 0.0000

41.7775 0.0000
42.4479 0.3585
41.8894 1.5700
41.0139 0.7844
41.7775 0.0000

57.8058 1.0402
58.7260 1.5700
57.5022 1.5700
57.8058 1.0402

85.3969 1.4223
86.1869 1.5700
85.1873 1.5700
85.3969 1.4223

37.4505 0.0000
37.9033 0.0000
38.1825 0.6409
37.4505 0.0000

60.8770 0.0000
61.2959 0.0000
61.0479 0.1454
60.8770 0.0000

65.9344 1.5700
65.9344 1.5700
65.9344 1.5700
65.9344 1.5700

68.6292 0.5681
70.8262 1.5700
70.8262 1.5700
68.4000 1.5700
68.6292 0.5681

41.0139 0.7844
41.8894 1.5700
39.8817 1.5700
41.0139 0.7844

37.3368 0.1671
37.4505 0.0000
38.1825 0.6409
37.3368 0.1671

37.9033 0.0000
40.0538 0.0000
39.3657 1.3335
38.1825 0.6409
37.9033 0.0000

70.8262 1.5700
70.8262 1.5700
70.8262 1.5700
70.8262 1.5700

40.0538 0.0000
41.0139 0.7844
39.8817 1.5700
39.3657 1.3335
40.0538 0.0000

60.8770 0.0000
61.0479 0.1454
60.7013 0.3254
60.8770 0.0000

66.0628 0.0000
67.0754 0.0000
65.9344 1.5700
65.9344 1.5700
66.0628 0.0000

34.9499 0.0000
37.1646 0.0000
35.6772 0.9337
34.9499 0.0000

67.0754 0.0000
68.6622 0.0000
68.6292 0.5681
67.0754 0.0000

79.1463 0.4461
84.9549 0.0000
79.4564 1.5700
79.1463 0.4461

68.6292 0.5681
68.4000 1.5700
65.9344 1.5700
65.9344 1.5700
68.6292 0.5681

71.4790 0.0000
73.1856 0.0000
72.0161 0.5755
71.4790 0.0000

65.2635 0.0000
66.0628 0.0000
65.9344 1.5700
65.9344 1.5700
65.2635 0.0000

63.1136 0.9360
65.9344 1.5700
65.9344 1.5700
62.8298 1.5700
63.1136 0.9360

61.2959 0.0000
63.4746 0.0000
63.1136 0.9360
61.2959 0.0000

35.6772 0.9337
36.2035 1.5700
34.7606 1.5700
35.6772 0.9337

67.0754 0.0000
68.6292 0.5681
65.9344 1.5700
67.0754 0.0000

14.6544 0.0000
20.1947 0.0000
19.8342 1.5667
14.6544 0.0000

68.6622 0.0000
70.1084 0.0000
70.8262 1.5700
68.6622 0.0000

60.7013 0.3254
61.5069 1.5700
60.1010 1.5700
60.7013 0.3254

34.9499 0.0000
35.6772 0.9337
34.7606 1.5700
34.1589 1.0183
34.9499 0.0000

33.7276 0.0000
34.9499 0.0000
34.1589 1.0183
33.7276 0.0000

33.0188 0.0000
33.7276 0.0000
33.2594 0.6670
33.0188 0.0000

70.1084 0.0000
71.4790 0.0000
70.8262 1.5700
70.8262 1.5700
70.1084 0.0000

37.1646 0.0000
37.3368 0.1671
36.2035 1.5700
35.6772 0.9337
37.1646 0.0000

37.1646 0.0000
37.4505 0.0000
37.3368 0.1671
37.1646 0.0000

38.1825 0.6409
39.3657 1.3335
39.2624 1.5700
38.1825 0.6409

84.9549 0.0000
84.9549 0.0000
92.0000 0.0000
86.1869 1.3603
84.9549 0.0000

65.9344 1.5700
65.9344 1.5700
65.9344 1.5700
65.9344 1.5700

79.0906 0.0000
84.9549 0.0000
84.9549 0.0000
79.1463 0.4461
79.0906 0.0000

39.3657 1.3335
39.8817 1.5700
39.2624 1.5700
39.3657 1.3335

84.9271 1.3896
85.1873 1.5700
83.9712 1.5700
84.9271 1.3896

70.8262 1.5700
70.8262 1.5700
70.8262 1.5700
70.8262 1.5700

14.5751 0.0000
14.6168 0.0000
13.5887 1.5690
13.5828 1.5688
14.5751 0.0000

60.7013 0.3254
61.0479 0.1454
62.8298 1.5700
61.5069 1.5700
60.7013 0.3254

84.9549 0.0000
84.9549 0.0000
84.9549 0.0000
84.9549 0.0000

65.9344 1.5700
65.9344 1.5700
65.9344 1.5700
65.9344 1.5700

76.4069 0.0000
79.0906 0.0000
76.5275 1.1967
76.4069 0.0000

61.0479 0.1454
61.2959 0.0000
63.1136 0.9360
62.8298 1.5700
61.0479 0.1454

79.1463 0.4461
79.4564 1.5700
76.4670 1.5700
76.5275 1.1967
79.1463 0.4461

25.2991 0.0000
27.0312 0.0000
27.0375 0.6542
25.2991 0.0000

27.0375 0.6542
28.2225 0.0000
29.4090 0.7212
28.5595 1.5700
27.0375 0.6542

19.8342 1.5667
19.8349 1.5700
19.8296 1.5700
19.8342 1.5667

33.2594 0.6670
33.7276 0.0000
34.1589 1.0183
33.6326 1.5700
33.2594 0.6670

92.0000 0.0000
92.0000 0.7850
86.1869 1.5700
86.1869 1.3603
92.0000 0.0000

92.0000 0.7850
92.0000 1.5700
86.1869 1.5700
92.0000 0.7850

84.9549 0.0000
84.9549 0.0000
83.9712 1.5700
79.4564 1.5700
84.9549 0.0000

34.1589 1.0183
34.7606 1.5700
33.6326 1.5700
34.1589 1.0183

72.0161 0.5755
73.1856 0.0000
74.2336 0.6547
73.0564 1.5700
72.0161 0.5755

28.2225 0.0000
29.3408 0.0000
29.4090 0.7212
28.2225 0.0000

74.8898 0.0000
76.4069 0.0000
76.5275 1.1967
75.5511 1.3718
74.8898 0.0000

84.9549 0.0000
84.9271 1.3896
83.9712 1.5700
84.9549 0.0000

27.0375 0.6542
28.5595 1.5700
27.1908 1.5700
27.0375 0.6542

75.5511 1.3718
76.5275 1.1967
75.6240 1.5700
75.5511 1.3718

27.0375 0.6542
27.1908 1.5700
25.7943 1.5700
27.0375 0.6542

75.5511 1.3718
75.6240 1.5700
74.9423 1.5700
75.5511 1.3718

71.4790 0.0000
72.0161 0.5755
70.8262 1.5700
70.8262 1.5700
71.4790 0.0000

29.4090 0.7212
29.6418 1.5700
28.5595 1.5700
29.4090 0.7212

24.1038 0.5590
24.1003 1.5700
19.8424 1.5700
19.8678 1.5573
24.1038 0.5590

74.2336 0.6547
74.8898 0.0000
75.5511 1.3718
74.9423 1.5700
74.2336 0.6547

65.9344 1.5700
65.9344 1.5700
65.9344 1.5700
65.9344 1.5700

8.0000 0.7843
13.5828 1.5688
13.5828 1.5700
8.0000 1.5700
8.0000 0.7843

8.0000 0.7843
8.0000 0.0000
13.5828 1.5688
8.0000 0.7843

24.1038 0.5590
25.7943 1.5700
24.1003 1.5700
24.1038 0.5590

19.8342 1.5667
19.8424 1.5700
19.8349 1.5700
19.8342 1.5667

27.0312 0.0000
28.2225 0.0000
27.0375 0.6542
27.0312 0.0000

79.0906 0.0000
79.1463 0.4461
76.5275 1.1967
79.0906 0.0000

72.0161 0.5755
73.0564 1.5700
70.8262 1.5700
72.0161 0.5755

84.9549 0.0000
85.1873 1.5700
84.9271 1.3896
84.9549 0.0000

76.5275 1.1967
76.4670 1.5700
75.6240 1.5700
76.5275 1.1967

70.8262 1.5700
70.8262 1.5700
70.8262 1.5700
70.8262 1.5700

24.1038 0.5590
25.2991 0.0000
27.0375 0.6542
25.7943 1.5700
24.1038 0.5590

20.1947 0.0000
23.1708 0.0000
19.8678 1.5573
19.8342 1.5667
20.1947 0.0000

