f db
2.100000e+09 -0.1310
2.120000e+09 -0.1469
2.140000e+09 -0.1657
2.160000e+09 -0.1883
2.180000e+09 -0.2154
2.200000e+09 -0.2486
2.220000e+09 -0.2897
2.240000e+09 -0.3412
2.260000e+09 -0.4071
2.280000e+09 -0.4930
2.300000e+09 -0.6074
2.320000e+09 -0.7642
2.340000e+09 -0.9858
2.360000e+09 -1.3110
2.380000e+09 -1.8101
2.400000e+09 -2.6170
2.420000e+09 -4.0036
2.440000e+09 -6.5578
2.460000e+09 -11.5738
2.480000e+09 -15.2891
2.500000e+09 -8.9312
2.520000e+09 -5.2961
2.540000e+09 -3.3946
2.560000e+09 -2.3204
2.580000e+09 -1.6713
2.600000e+09 -1.2558
2.620000e+09 -0.9766
2.640000e+09 -0.7812
2.660000e+09 -0.6397
2.680000e+09 -0.5342
2.700000e+09 -0.4537
2.720000e+09 -0.3909
2.740000e+09 -0.3412
2.760000e+09 -0.3011
2.780000e+09 -0.2684
2.800000e+09 -0.2414
